stars,comment
1.0 out of 5 stars,"Speaker is not working, not happy with the product. I have placed request for replacement but haven't received any confirmation from Amazon yet. Very disappointed.
            "
4.0 out of 5 stars,"If you are a op5,op5t or op6 user it is not worth upgradingcons of oneplus 6t:1 the indisplay fingerprint is way too slow and does not work always2 the phone still has some network connectivity issues(s/w upgrades may fix them)3 phone works fast BUT expensive for the price and lacks good features like IR blaster,gloves mode, only limited gestures4 it seems interesting for a week, later its just a normal budget phone5 the low light photos in 'nightscape' is still bad,overall camera is just OK(not as hyped )Pros:1 Phone feels more premium than Rs.25,000 phones but still does not provide the vibe of apple or samsung(note & S series)2 has good customer care support (especially online)3  the software(oxygen OS) is really smooth,no lags at allfor those looking for phones for at least 2-3 years of usage,if possible wait for oneplus 7hope to see a triple rear camera and 5G on oneplus7
            "
5.0 out of 5 stars,"Coming from OnePlus 2, this is a huge upgrade. So I liked many things about this phone. Amazing display. I'm not a notch fan but this is the cutest notch I've seen. Absence of 3.5mm jack might be a let down for many fans including me and I still don't agree with their decision. There is no LED notifications also.Performance wise there's no need of even comparing because this is the best (SD845+OxygenOS+8GB RAM = TRUE WONDER).Didn't get a chance to test the camera much, so no comments on the camera.Some might face problems with fingerprint scanner but register them properly and you would not get any problems. I had none till now.I didn't think that the case in the box would be so good. It's very nice and I've seen phone dropping from 10ft not breaking with this case.Many intrusive ads are comparing this with Pocophone F1. I just laugh at them. OnePlus has a way more premium feel than Pocophone.
            "
5.0 out of 5 stars,"Best phone !!!In love with the fingerprint scanner and it's animation !Battery lasts one day !Industry leading camera with studio mode works fantastic !Catchy display !Fast like a flash !Great Value for money !!!!!
            "
1.0 out of 5 stars,"Received faulty piece of mobile, battery can't even last for 6 hours, I am going to return it
            "
1.0 out of 5 stars,"very poor product from one plus and neither amazon is replacing the device battery didn't last long much not even 5 or 6 hours the device is malfunctioning like opening apps on it's own and volume is increasing or decreasing on it's ownnot satisfied with the product
            "
1.0 out of 5 stars,"There are two speakers in One Plus 6T, One speaker is not working
            "
5.0 out of 5 stars,"DESIGN:If you thinking that OnePlus 6 and 6T has no major difference than you are absolutely wrong and highly mistaken if you thing 6 is better than 6T. Price hike is completely justified.Visible differences between 6 & 6T:Higher screen to body ratio, Gorilla Glass 6, in-display fingerprint scanner, taller, water-drop notch. 3700mAh battery.Technical advancement:Advance AI which smartly uses your RAM and ROM which actually boosts the performance, Better heat-sink than 6.CAMERA:I took my canon 1300D with two lens; portrait and 18-55 and OnePlus6T for comparison test. OnePlus 6T provided better results when both on Auto-mode. It has amazing contrast, perfect saturation; but the thing where it stood-out from others its it night picture quality. It does wonders even if there is almost no light and that is some magic over there. Front camera absolutely stunning and comes with screen flash for low light selfies.BATTERY:Battery charging- 0 to 65% in 30 mins and at 45 min it reaches 86%. Full charge by 1hr8 mins when internet, Bluetooth and wifi off. On heavy use it survives 8 hrs (I watched 2 movies in HD with 50% screen brightness and 1 hour PubG gaming on HD, 1 hour YouTubing). On average usage, 17 hours very smoothly(casual social media surfing, browsing, camera usage about 5 to 6 pictures using flash). Without internet usage at all and battery saver on, it can go whooping 3 DAYS !SPEAKERS:External speakers are loud, I mean really very loud. Hearing speaker is very cool by its looks and loud too. Volume rockers and power switch is perfectly hard.SECURITY:Though I feel face detection is worst type of security because it has many drawbacks, its quick. And finger print scanner is also faster than its competitors. The part which irritates is that while using at night in dark, for face and fingerprint detection, the display gets 100% to scan which is very annoying and very uneasy for eyes.
            "
5.0 out of 5 stars,"After replace the handset issue was resolved. Now i unlocked the speed i need.
            "
5.0 out of 5 stars,"I am a big fan of Apple. Have been using Iphone from last 5 years. Wanted to change the phone to the new one. But not much of Innovation from Apple. So, I switched to Oneplus and Oneplus 6T was a best replacement.The OnePlus 6T brings new technology and worthwhile improvements to the table making this the best phone from OnePlus yet.Design: Just gorgeous - the curve of the camera bump is more of a design accent than a notch. The phone has a huge 6.41 in screen, but is still easily managed with one hand. The color is amazing - Mirror Black. The 6T feels like it was meant to fit in my hand. The first party OnePlus cases accent the amazing design and make it even more comfortable. When you hold the phone, you will know exactly what I mean!Battery: Lasts more than a day with heavy use. I can get almost 6 hrs of screen on time even after watching YouTube, gaming, and general usage. Even better, the included dash charger fills the battery extremely quickly. No wireless charging, but I don't even miss it.Camera: Solid - 4K 60FPS video looks great. Other phones in this price range can't even touch the quality of the camera for pictures. Night shot is solid, looking forward to Future tweeks to prevent the blown out appearance when some light is present.Sound: Probably the only change I would make. The since downward firing speaker is easy to block. The quality is great - would love to see the dual speaker in the next OnePlus phone.While you could say that OnePlus has made some sacrifices in developing the OnePlus 6T, they all seem rather subjective. Sure it’s a slightly bigger, thicker, heavier phone than the 6 but if that means a bigger battery with better longevity is it really a loss?The headphone jack’s absence is annoying for some but the phone comes with an adapter and the in-display fingerprint sensor might not have fit in the same footprint otherwise.
            "
5.0 out of 5 stars,"Super
            "
1.0 out of 5 stars,"Two days back I received 6T and had many problems with the mobileThe mobile is getting heated when it's on camera mode or doing nothing., and while using mobile it's getting struck.. I don't think I got an original set, I'm sure it's a duplicate set.Please for god sake please exchange my mobile with a new one
            "
5.0 out of 5 stars,"Got delivered in just 2.5 hours of my order. No bad overservations yet. Fingerprint unlock is also good, if you have face unlock ON then all the time it will unlock with face data before the the fingerprint works.
            "
5.0 out of 5 stars,"This has by far been the best phone I have ever used hands-on. Flagship Specs, Classy look, Premium Packaging and the Speed you Need!Appearance - The device looks very much similar to the OnePlus 6T upfront but it has got the speed orange highlights at the back, carbon finish and McLaren Branding at the bottom.Camera - The night mode really captures amazing pictures and the portrait mode is just amazing. The low light photography could still be improved.Battery - With average usage with full day data on, it easily lasts upto 2 days. The Warp charging is just amazing, it takes around 40-45 mins to charge from 0-100%. But you could easily get a day's charge within 20 mins.Speed - With 10 Gigs of RAM, speed should not be a question. You could open up 5 high specs games and it still wouldn't lag. And its bragging rights for sure!Overall, I am really satisfied with this device and feels great to be a part of OnePlus Community! Go, get it! Its for those, who are in continuous pursuit for speed!
            "
5.0 out of 5 stars,"Amazing phone, just feels good.Done the ma+h, price isn't everything.You get what you pay for. :)Excellent battery,Great screen,Amazing performance,Smoooth OS,Great camera,Surprisingly decent audio,Cool screen unlock and ridiculously fast face unlock.The phone is worth every penny spent.
            "
1.0 out of 5 stars,"The device is very bad. Camera quality is very poor. Please don't buy it guys go for Apple iPhone XS instead. Apple has a far better Camera.No Color options in 256gb variant. OnePlus should learn from Apple they have a lot of Color options at the time of launch. OnePlus is not worth the price.
            "
1.0 out of 5 stars,"Camera pics are not having good quality. Pixel is not clear
            "
1.0 out of 5 stars,"The in-display fingerprint sensor is very bad. It is slow and many times it takes multiple attempts to scan the finger. This phone is big disappointment. I would not recommend this phone at all.They didn't give headphone jack which is okay as they were giving free bullets V2 for those who pre-booked the phone. But they should atleast have given IP rating as IP gives peace of mind and stereo speaker should have been there instead of dummy holes at bottom. Needless to say that Oneplus phones have good software and this one is no exception. This has good software which is fast and fluid. My point is that don't buy this phone for fingerprint sensor. If you are having other OnePlus phone then you should hold for next OnePlus phone.
            "
5.0 out of 5 stars,"Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good
            "
1.0 out of 5 stars,"Battery-Extremely PoorCamera-SatisfactoryLook-GoodWeight-GoodSound-SuperbOverall I would have given it half star,deeply through by it's battery.And even after the replacement,the same problem persists,which means it's a clear cut case of faulty manufacturing.Please don't buy it,if you really love your hard earned money.....
            "
1.0 out of 5 stars,"Phone is not working after update.I need immediate replacement or need my money back without further delay.
            "
5.0 out of 5 stars,"Super nice
            "
1.0 out of 5 stars,"Damaged
            "
5.0 out of 5 stars,"Great for all specs except for the battery life. Battery drains faster than expected. Without that totally worth it...
            "
4.0 out of 5 stars,"I received the order @ time thanks to Amazon for delivered @ right time now coming about the phone experience as of all you know why ppl like oneplus is all because of their user interface Yea the oxygen OS it feels buttery smooth with no lag and 0 bloatware it's clean and faster than stock android.,performance is awesome no doubt on that., but display isn't upto the mark like I won't be comparing it to the Samsung displays but to their own previous generation phone., I own a oneplus 3t already been using it fa last 2 years that phone display feels more premium and vibrant than one on the oneplus 6t like 10% brightness on the oneplus 3t is equal to 40% brightness on oneplus 6t but still this display is good and another con is the headphone jack they keep trolling iPhone fa removing the headphone jack last year and used headphone jack as key marketing fa selling their phones @ US and other countries but now no headphone jack that's really ridiculous., it's okay to use the USB c to headphone connector to use while @ home but not comfortable while you do gaming or when you have your phone @ pocket during traveling like you gotta spend some 2k to 4k fa wireless., build quality is good of course it feels premium., especially the one I have Thunder purple it feels more premium., battery life is awesome it lasted about 14 hours with on screen time about 9 hours ( been playing pubg about an hour, YouTube,chatting and browsing, 4g has been on almost all these time) and yea you ll miss that led notification light and they did some compromise with built quality like the earpiece grill and sim tray looks and feels cheap material more like plastic., no stereo speakers but two sound grills and yea it kills all other phones @ performance that includes Samsung note 9 @ this price ( half the price) if you into performance go fa this phone., thermal heat management is good.
            "
5.0 out of 5 stars,"The most COMPLETE and HONEST review :-This phone is OUTSTANDING! Mostly in a really good sense, ALTHOUGH somewhere we HAVE TO SETTLE.CONS (Ranked) -1. NO STEREO SPEAKERS , although single mono speaker is good.2. HEADPHONE AUDIO OUTPUT (c type / 3.5 mm / whatever) is ABOVE AVERAGE, but should have been better with greater bass and more fuller ambient sound like LG G7 ThinQ etc. I'll update my review about the Cirrus Logic DAC and Oneplus C type Bullets later.3. Camera depends upon good lighting conditions. TOO MUCH CROP IN FRONT CAMERA VIDEO DUE TO EIS. BLUR IN NIGHTSCAPE, ESPECIALLY IF THERE'S MOVEMENT IN FRAME. Wide angle camera should have been a must.4. Fingerprint scanner is like 90% hit and 10% miss. For 97% hit and 3% miss, INPUT SAME FINGER TWICE OR THRICE. PROPER PLACEMENT OF FINGER ON SCANNER is IMPORTANT. However it's SUFFICIENTLY FAST. Placement should have been upper on the screen.5. NO NOTIFICATION LED. SCREEN OFF GESTURES (like O for camera) are HITS AND MISSES OCCASIONALLY.P. S. NO HEADPHONE JACK, NO QHD RESOLUTION and NO WIRELESS CHARGING are NOT CONS, atleast for me.PROS (Ranked) -1. The very BEST SOFTWARE, UI, PERFORMANCE. (CLEAN, FAST AND SMOOTH). MANY CUSTOMISATIONS. BETTER THAN STOCK ANDROID.2. INNOVATIVE TECHNOLOGY and DESIGN like in display fingerprint scanner, cute waterdrop notch etc.3. PREMIUM AND DURABLE BUILD QUALITY. UNOFFICIALLY WATERPROOF.4. GREAT BATTERY life AND DASH CHARGING.5. Great screen.6. Camera can compete with PIXEL 3.7. GREAT VALUE for the price. However, COULD BE of GREATER VALUE. COMPETITION - LG G7 ThinQ, Asus Zenfone 5Z, iPhone 6S plus, etc.P. S. You'll read many PROS in official reviews in the internet, YouTube etc..All in all, the phone and the brand DESERVES YOUR ATTENTION.4.5 OUT OF 5 - ABHISHEK CHAKRAVORTY
            "
1.0 out of 5 stars,"One plus 6 is better than 6t
            "
1.0 out of 5 stars,"I just got the new one plus 6t. But not received all other accessories with it. Only received one charger , one protective case that s it. Type C to audio adapter is missing.
            "
1.0 out of 5 stars,"Very disappointed with slow mo camera quality. I wish I could return the phone.
            "
1.0 out of 5 stars,"Worst product i ordered on 1st november 2018 at 00.01 hours i got the product but only ised 1 day and now the phone is not charging and the phone is dead.Dint expect such a baaaaaaddd  product.I always used one plus but from now onwardd no one plus
            "
1.0 out of 5 stars,"I just unlocked the speed today but it disappointed me I can't download apps it takes forever to download for a brand which promotes that it is very fast really disappointed.the battery also drains really fast really disappointed with the phone .I don't recommend this phone at all it also force close few apps after normal use of apps
            "
2.0 out of 5 stars,"Phone functions are nice. Battery performance is not lasting good. Battery is dying very rapidly. I am changing full charge twice in 24hrs still battery is getting down to 19%. Most funny part is that I am hardly using my phone. This is very depressing after paying such a big amount (hard earned money) of Rs. 38000/- and battery performance is so much poor.Spoken to the Amazon technical support for this. They have done some online test through some app and get to know that something is wrong with this phone battery and told me for the ""BRAND NEW REPLACEMENT PHONE"" on Monday 5th November 2018. I have received my phone on 2nd Nov and spoken to Amazon technical support engineer on 3rd Nov. Although I haven't received any email / SMS from Amazon yet. I can trust them on there words and will receive brand NEW REPLACEMENT PHONE on 5th November itself.
            "
1.0 out of 5 stars,"I purchased one plus 6t on nov 1st and gor it delivered on nov 3rd. Everything is fine but touch is not functioning properly at the corners of diaplay. Didn't expect such issue with onw plus
            "
3.0 out of 5 stars,"Hello Guys,I am using this phone past 2 days over all phone is good its worth to buy. But there are some issues which i am mentioning below.1-  battery is not so good, its draning fast not so fast but ya fast.2- there is no am -pm in clock which very basic function in every damn phone.3- you can face internet problem may be your sim doesn't support the handset. But there is issue.4- performance what i was expecting is not top notch what company claiming. You can get same kind of speed  in 20k phone easily.5- lastly the finger scanning lock is not so fast, sometimes it takes 2-3 attempts.Guys this is my geniune report about this phone. I m very much fan of oneplus family. But 2 times i took wrong decisions 1- for oneplus 5 it was a worst phone and2- OnePlus 6t actually its not a worst phone but i was expecting a top notch speed. But OnePlus 6t not match that level.If you have budget to buy and you want it anyhow than you can go for it.... Otherwise there are lots of better options. Available in market in 20k which match almost same quality & look. So don't waste your money if you don't have much in your pocket. Don't push your self to buy this phone.I am give this phone 3 star just bcz its not that bad but its not that good. Now choices upto you.
            "
5.0 out of 5 stars,"Best pH ever..👍👍👌👌
            "
1.0 out of 5 stars,"Adding another call, when a call is already in progress is night mare. Either app crashes or it doesnt allow. During phone call disabling blue tooth is not posisble. I see lot of UI issues. God only why people were so hyped about this phone. its not doing what 7000rs Samsung phone does. Please don't buy this phone and waste your money.
            "
1.0 out of 5 stars,"I got a defective product
            "
2.0 out of 5 stars,"Things are not the same as promoted, I bought this on 2nd Nov, look wise its good, sound is also loud, its just loud nothin else, battery has just improved marginally if you keep your location on and play some game or video, it will be low very soon. Ofcourse at the end it will hang little longer but not as expected. Display Hangs!! Yes!!! this phone hangs even with 8gb RAM, have faced it few times even in first 10 days. Worst part is the front screen lock is too too slow, even i have to use pin code most of the time. Overall the phone launch was just a hype but the performance is not upto the expectation!!!
            "
1.0 out of 5 stars,"38000 price not good
            "
1.0 out of 5 stars,"Very baf
            "
5.0 out of 5 stars,"I got this phone on Friday evening.Pros:Great battery lifeAmazing performancePremium designImpressive rear and front cameraIn display fingerprint scanner is really fastCons:No headphone jack but you'll get a converterNo notification LEDNo microSD card slotI will give points on my personal experience of 2 days full usage as below:Weight: 9/10OS: 10/10Screen size: 10/10CPU: 10/10Performance: 10/10Storage: 10/10 (you'll get approx 113 gb for use)Battery: 8/10Rear camera: 10/10Front camera: 10/10In display fingerprint scanner: 9/10Face unlock: 10/10I hope this will help full.
            "
1.0 out of 5 stars,"They are telling it comes. With strongest back glass, on the first day itself, for a drop from 4 feet hieght my phone got a new back shattered glass
            "
1.0 out of 5 stars,"battery drain issue
            "
2.0 out of 5 stars,"Camera quality is not upto the mark. I visited one plus store and the store representative checked my phone and compared the camera quality with his demo phone. He noticed a significant difference between the two.I request Amazon to replace my phone with a new one as it is evident that this phone has some problems.
            "
1.0 out of 5 stars,"1. The Battery lasts max of 6 hours.2. Major application not working in the upper side of the screen.3. Camera quality is very poor.4. Audio output through earphone is very poor, same earphone works with other phone is excellent.5. While in a call unable to drop down the notification window.6. Video quality is very poor compared to other less price phones.I have applied for replacement, not going to take any replacement for such a worst product.
            "
1.0 out of 5 stars,"I charged the phone completely out of the box and then turned it on.  It went to the Oneplus logo screen but did nothing after that.  No buttons work, no combinations of any buttons do anything to take it out of logo screen, it won't even turn off.  Amazon won't allow return until technician looks at the phone???  Oneplus support said take it to a service center but couldn't tell me the closest one.  Really disappointed in lack of support form both companies for a brand new product and release.  I'm sure they will now try to push a replacement but I'm not really interested in the product anymore.
            "
1.0 out of 5 stars,"One plus 6 was costing 28k during the big billion sale and 6T costs  38k. It is not worth to spend 10 k just for some small improvements.
            "
1.0 out of 5 stars,"I ordered one plus 6t phone today I got delivered wen I opened found that ear phones missing in the boxes plz let me clear the issue
            "
1.0 out of 5 stars,"Only one side of speakers is working. Right side is not working
            "
5.0 out of 5 stars,"Phone is simply superb in all aspects...low light performance of the camera is outstanding...you simply cannot go wrong with this phone
            "
1.0 out of 5 stars,"OnePlus 6T turned out to be an utter disappointment for me. I received a faulty device and when tried getting support from OnePlus I received disappointment only. Even after 6 calls, several mails and a visit to the service centre I got no solution as such. The cherry on top of all this was lie by the people at service centre. He couldn't connect my device to the laptop for software update and told me he updated the device. I could see that my email id was still there. How's it even possible if the software was updated after hard reset?My device has battery drain and heating issues along with apps crashing.It's not just OnePlus but Amazon too didn't help me either. They couldn't even connect a call to the technical support department.I feel cheated and betrayed by both OnePlus and Amazon.
            "
4.0 out of 5 stars,"Good build.amazing battery life. ( Minimum 3 days stand by along with basic use in airtel's 4g network)good accessories on op site.cool phone box packing.in display fingerprint sensor & face recognition both are good.loudspeaker is decent. has a c type to 3.5mm adapter in the box.value for money. Go for it!
            "
5.0 out of 5 stars,"Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life
            "
4.0 out of 5 stars,"Used it for close to 45 days now, overall a very good phone but for this price point i would expect much better camera. Since Asus Zenfone 5Z also gives similar performance at almost less than 10K. Camera in night mode needs more improvement and does not capture the picture properly .. may be i need to do some tweeks in settings i am not sure. Please see the image i uploaded the fire is tarnished with grey .. same picture without night mode is much better. This is my first 1+ phone .. satisfied but because of camera giving 4 stars.
            "
1.0 out of 5 stars,"mobile is very good and fast.but battery is draining like anythg..within two days of usage i found battery consumption is more than my old phone redmi note4
            "
5.0 out of 5 stars,"OnePlus 6T ProsBigger display with water drop notch design look beautiful and AMOLED panel also very good.OnePlus 6T has upgraded 370mAh battery which is 400mAh bigger then OnePlus 6. It also comes with Dash charger one of the fastest smartphone chargers.The base variant comes with 6GB RAM 128GB of storage and price are same as OnePlus 6 6GB RAM 128GB storage variant.The main highlight it has the in-display fingerprint sensor and this is one of the fastest in-display fingerprint sensors.OnePlus known for their stock like Oxygen OS and this time the OnePlus 6T comes with Android 9 pie.New Camera mode like Nightscape and some other photography features are really good.OnePlus 6T ConsThe Oneplus company known to listen to their consumer’s voice, but this time There is no 3.5mm audio jack.The main cons of all OnePlus devices are lacs on microSD card support, yes it does not have any microSD card slot.There is no IP rating for waterproof and dustproof.OnePlus 6T does not have dual speakers like it should because other brands are now offering dual speaker setup.This time OnePlus also use glass at the back but it does not support wireless charging. Now, these days every flagship smartphone has wireless charging support.Frankly speaking the OnePlus 6 still a good device there is no major improvement on OnePlus 6T. If you are a OnePlus fan and wants to buy a new smartphone then you can buy this. But if you already have the OnePlus 6 then don’t waste your money because OnePlus 6 will get all the software feature via OTA updates...
            "
4.0 out of 5 stars,"I like its full display and picture quality is good but temperd glass should be given to all customers
            "
1.0 out of 5 stars,"1. Google Play does not work properly, apps are downloading after 3-4 attempts.2. Very Heavy and does not fit well in hands3. Very poor quality of preapplied screen guard. Bubbles came only after 30 minutes of usage4. Camera is very ordinary
            "
5.0 out of 5 stars,"Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...Fingerprint sensor, face unlock are exciting features but not indispensible.All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!I'm happy...N yes...Thank you Amazon for the On time delivery..
            "
1.0 out of 5 stars,"Bought the costliest one. 8gb 256gb model.Received a phone with flickering screen, screen shows different colors every now and then... Battery drains fast and phone heats up even on normal usage. I have used OP3t for 2 years and never faced any problem. But This one didnt stay even for 2 days and I had to request for replacement. 1 day passed and no help, finally anazon says replacement not possible, only refund possible. I hope at least the refund process goes smooth.
            "
1.0 out of 5 stars,"OnePlus you make great phones! I have bought and used every phone since OnePlus X !But it's kinda stupid to remove the headphone jack !And what did we get in return a slow fingerprint reader ?No IP rated Water resistance ? No wireless charging?Everyone's loves new features, but not at the cost of essential ones !
            "
1.0 out of 5 stars,"I got this phone with a minor scratches on the pre installed screen protector, however I'm not sure if those are on the protector or the screen itself. I couldnt file a complain since I am travelling constantly. Will obviously reach out you guys once I'm getting back home.
            "
1.0 out of 5 stars,"Please don't buy..gets heated, doesn't startCustomer care has no interest pls don't buy 6t worst one plus product
            "
1.0 out of 5 stars,"The whole product is good but 36k is more for it
            "
1.0 out of 5 stars,"It is not worth for the money. Low light camera performance still low. 25K poco does equal to 6T. In display finger print is laggy. You definitely won't like it. Good battery life.Average display. Performance is good.
            "
4.0 out of 5 stars,"Build quality is good. Phone is looking handsome. Two things bothering me. one is notification light. There is no notification light on top of screen so I need to awake my phone everytime to check any message or so. Second thing is fingerprint sensor. It is very sensible I must say unlike the back one. I need to put my finger in proper way otherwise I won't be able to unlock my phone.
            "
1.0 out of 5 stars,"The phone got stuck while using one of camera features. Its not even getting restarted. The screen is freezed thus, not allowing to proceed further. Hope i get a replacement soon.
            "
2.0 out of 5 stars,"1.Takes too long to charge...took 80minutes to charge from 10%-96%.2.Battery life went down from 100%to 10% in less than 20hours without much usage.3.Fingerprint sensor not very receptive.
            "
1.0 out of 5 stars,"1. Picture quality zero third class2. Heat while charging3 heat issue while playing game like pubg4. Slipry grip5. Heavy weight6. Camera in night also wrost7. When you zoom picture taken by 6t shows the blur images and red eyes8. There lack of A. I  artificial intelligence9. Face lock security is totaly unsafe i tried open with my passport size foto & opend screen lock10. Battery life is good fast charging but heating issue also11. No headfone jack you have to manage with charging jack adapter of headfoneI return after using 2 days & thanks to amazone to refund on time and saves my money by return /  refund policy
            "
1.0 out of 5 stars,"I have not received headphones as promised by pre book OnePlus 6t
            "
1.0 out of 5 stars,"I am using oneplus 6t phone from 1st of November and I am facing issue with camera when I m using camera with flash then image taking blur and in yellow colour this issue I am facing after updating oneplus 6t phoneDon't not true on camera
            "
1.0 out of 5 stars,"Add/ enable proper always on display.. without LED notification light we can't see notification.. really not satisfied disabled always on display/Ambiant display...
            "
5.0 out of 5 stars,"As the slogan says never settle....proper flagship killer
            "
5.0 out of 5 stars,"Battery life is better. Picture quality is good. Sound quality is also reasonably good but definitely not the best among its competitors. Having said that, this phone is really really fast. Display is awesome. Dash charger is wow as usual.
            "
5.0 out of 5 stars,"I like this product very much
            "
3.0 out of 5 stars,"Purchased with great excitement but disappointed the day i got this phone.. Being a flagship killer, i never expected this phone to face heat issues even with a normal usage..the same problem didn't arise with my brother's phone which he took on the same day... Apps didn't download but some how solved that issue later.. And now some apps are force closing and not working.. Remaining features live upto the mark. But being a oneplus fan, my expectations were sky-high about the 6t..slightly disappointed but not a big deal.. Can adjust with this.
            "
1.0 out of 5 stars,"Picture quality worst
            "
1.0 out of 5 stars,"Worst service from amazon.never expected this.lost believe in this.they delivered defective piece and not providing the replacement for this.Horrible ecperience
            "
